task,model,mean,std,count
banfakenews,banglabert,0.9269758158634813,0.0033539202490466737,3
banfakenews,banglishbert,0.9193774785483845,0.0056654710963063805,3
banfakenews,char_ngram,0.9471431644787676,0.0,3
banfakenews,mbert,0.8590517416203474,0.008016491006572889,3
banfakenews,xlmr,0.920419799221499,0.007517020201155482,3
bd_shs,banglabert,0.9210893816629286,0.004753412094884112,3
bd_shs,banglishbert,0.9174712038652242,0.005852640430712083,3
bd_shs,char_ngram,0.9053582500074646,0.0,3
bd_shs,mbert,0.9153748509794046,0.0005636466121110531,3
bd_shs,xlmr,0.9151388557985429,0.003643913611874196,3
sentnob,banglabert,0.703016008192865,0.006497281650392541,3
sentnob,banglishbert,0.7063686723354774,0.0035691603403505776,3
sentnob,char_ngram,0.6752255951193024,0.0,3
sentnob,mbert,0.6592806636030869,0.016419440574524276,3
sentnob,xlmr,0.6727786041043515,0.012306819830484097,3
