task,severity,seed,n_items,both_correct,only_banglabert,only_char_ngram,neither,acc_banglabert,acc_char_ngram,acc_diff,odds_ratio,p_value,method
sentnob,3,1337,14121,7642,1927,1756,2796,0.6776432264003965,0.6655336024360881,0.012109623964308477,1.0973526900085397,0.005090894077388563,chi2-cc
sentnob,3,2024,14121,7693,1889,1740,2799,0.6785638410877417,0.6680121804404787,0.010551660647262942,1.0856075840275783,0.014018417425673056,chi2-cc
sentnob,5,1337,14121,5325,2299,2767,3730,0.5399051058706891,0.5730472346151122,-0.0331421287444232,0.8308943089430895,5.3371001105659995e-11,chi2-cc
sentnob,5,2024,14121,5397,2454,2614,3656,0.5559804546420225,0.5673110969478082,-0.01133064230578571,0.9388028303690954,0.025518407689452162,chi2-cc
bd_shs,3,42,90225,73834,5329,4140,6922,0.8773954003879191,0.8642172346910502,0.013178165696868938,1.2871633860644849,2.7980316045605715e-34,chi2-cc
bd_shs,3,1337,90225,73732,5734,4273,6486,0.8807536713771128,0.8645608201717927,0.016192851205320033,1.341874341874342,3.0268865189602904e-48,chi2-cc
bd_shs,3,2024,90225,74337,5197,3757,6934,0.8815073427542256,0.8655472430036021,0.01596009975062344,1.3832335329341316,3.1629986900837168e-52,chi2-cc
bd_shs,5,42,90225,64019,7618,6128,12460,0.7939817123857024,0.777467442504849,0.016514269880853423,1.243126376764298,5.906772039356896e-37,chi2-cc
bd_shs,5,1337,90225,63678,8922,6253,11372,0.8046550290939318,0.7750734275422555,0.029581601551676363,1.426800991444791,5.09213550831973e-104,chi2-cc
bd_shs,5,2024,90225,63482,7071,6450,13222,0.7819673039623164,0.7750845109448601,0.006882793017456359,1.096271606852182,9.715571242253098e-08,chi2-cc
banfakenews,3,42,15282,7860,304,6944,174,0.5342232692056014,0.9687213715482267,-0.4344981023426253,0.043847649218806246,0.0,chi2-cc
banfakenews,3,1337,15282,7403,293,7416,170,0.5035990053657898,0.9697029184661693,-0.4661039131003795,0.03957392300950583,0.0,chi2-cc
banfakenews,3,2024,15282,5830,300,8989,163,0.4011255071325743,0.9697029184661693,-0.5685774113335951,0.03342788809166249,0.0,chi2-cc
banfakenews,5,42,15282,3572,373,10620,717,0.25814683941892425,0.9286742572961654,-0.6705274178772412,0.03516783578927546,0.0,chi2-cc
banfakenews,5,1337,15282,3585,382,10616,699,0.25958644156524013,0.929263185446931,-0.6696767438816909,0.036028823058446756,0.0,chi2-cc
banfakenews,5,2024,15282,3354,362,10847,719,0.24316188980499934,0.929263185446931,-0.6861012956419317,0.03341783821156949,0.0,chi2-cc
