metric,task,model,severity,mean,std,n_seeds
accuracy,sentnob,banglabert,0,0.7446356490333544,0.004825925936520317,3
accuracy,sentnob,banglabert,1,0.7322191535065977,0.007600445267472637,27
accuracy,sentnob,banglabert,2,0.7181738781483842,0.016806081419261334,27
accuracy,sentnob,banglabert,3,0.6814673181785992,0.03621789029709085,27
accuracy,sentnob,banglabert,4,0.6178268772277695,0.07044785094293794,27
accuracy,sentnob,banglabert,5,0.5485447206288506,0.11422336329210737,27
accuracy,sentnob,char_ngram,0,0.7029955385595921,0.0,3
accuracy,sentnob,char_ngram,1,0.6983924651228667,0.006640796618990271,27
accuracy,sentnob,char_ngram,2,0.693883813705356,0.007639629342993626,27
accuracy,sentnob,char_ngram,3,0.6663597951042183,0.020484107003590626,27
accuracy,sentnob,char_ngram,4,0.6210608313858792,0.04821553427936717,27
accuracy,sentnob,char_ngram,5,0.5694828033897505,0.08019561329068112,27
accuracy,sentnob,banglishbert,0,0.7408115572551518,0.0007359468058503689,3
accuracy,sentnob,banglishbert,1,0.7270259424497794,0.008561546949999591,27
accuracy,sentnob,banglishbert,2,0.7114463092793238,0.017056661943470143,27
accuracy,sentnob,banglishbert,3,0.6715766116658405,0.03714196743864761,27
accuracy,sentnob,banglishbert,4,0.6092344734792154,0.0703433583896803,27
accuracy,sentnob,banglishbert,5,0.5439180416873215,0.1013521925008048,27
accuracy,sentnob,xlmr,0,0.7114935202889314,0.010990029450926348,3
accuracy,sentnob,xlmr,1,0.7023581899298916,0.0094962807047491,27
accuracy,sentnob,xlmr,2,0.6944503458206454,0.012949148330753191,27
accuracy,sentnob,xlmr,3,0.6662417675801997,0.027298605788718237,27
accuracy,sentnob,xlmr,4,0.6204234827561786,0.052259697763440104,27
accuracy,sentnob,xlmr,5,0.5684441611783868,0.08158279503085919,27
accuracy,sentnob,mbert,0,0.6872742723603146,0.014538442414213404,3
accuracy,sentnob,mbert,1,0.6798149328423387,0.009029313868886663,27
accuracy,sentnob,mbert,2,0.6685551070509642,0.012613263382923831,27
accuracy,sentnob,mbert,3,0.647900290347709,0.02603745620886401,27
accuracy,sentnob,mbert,4,0.6060241248259094,0.052492776903835366,27
accuracy,sentnob,mbert,5,0.5624247574534381,0.07393060956098704,27
accuracy,bd_shs,banglabert,0,0.9211305070656692,0.004769637714717942,3
accuracy,bd_shs,banglabert,1,0.9120568948000369,0.006565504835224751,27
accuracy,bd_shs,banglabert,2,0.9028761429758937,0.010466432043550298,27
accuracy,bd_shs,banglabert,3,0.879885471506419,0.024082140206674898,27
accuracy,bd_shs,banglabert,4,0.839833748960931,0.04676236619752169,27
accuracy,bd_shs,banglabert,5,0.7935346818139836,0.07374562899287579,27
accuracy,bd_shs,char_ngram,0,0.9056359102244388,0.0,3
accuracy,bd_shs,char_ngram,1,0.8963554077768542,0.005514843371694647,27
accuracy,bd_shs,char_ngram,2,0.8865244296665743,0.009829136310886628,27
accuracy,bd_shs,char_ngram,3,0.864775099288815,0.02126494385132889,27
accuracy,bd_shs,char_ngram,4,0.8243982636002586,0.04236058540698439,27
accuracy,bd_shs,char_ngram,5,0.7758751269973215,0.07000551006106506,27
accuracy,bd_shs,banglishbert,0,0.9175062344139651,0.0058819044340370445,3
accuracy,bd_shs,banglishbert,1,0.9074240325113143,0.0067286569530530214,27
accuracy,bd_shs,banglishbert,2,0.8977999445829871,0.01133548152779323,27
accuracy,bd_shs,banglishbert,3,0.8756294449062529,0.024645113752784754,27
accuracy,bd_shs,banglishbert,4,0.8362131707767618,0.04674954417637024,27
accuracy,bd_shs,banglishbert,5,0.7933942920476587,0.07227611029341903,27
accuracy,bd_shs,xlmr,0,0.9151787198669993,0.0036763664817116392,3
accuracy,bd_shs,xlmr,1,0.9067110002770851,0.006099006531721206,27
accuracy,bd_shs,xlmr,2,0.8988750346356331,0.010619913454790103,27
accuracy,bd_shs,xlmr,3,0.8813337027800868,0.021318165573311953,27
accuracy,bd_shs,xlmr,4,0.8500822019026508,0.04035443519294457,27
accuracy,bd_shs,xlmr,5,0.8168319940888519,0.061307510416200285,27
accuracy,bd_shs,mbert,0,0.9154114713216958,0.0005553879663671085,3
accuracy,bd_shs,mbert,1,0.9057504387180197,0.006047421134817569,27
accuracy,bd_shs,mbert,2,0.8964736307379698,0.011121969262336181,27
accuracy,bd_shs,mbert,3,0.8761873095040178,0.02437391317794482,27
accuracy,bd_shs,mbert,4,0.8407241156368338,0.04553864168077204,27
accuracy,bd_shs,mbert,5,0.8028558234044518,0.06864093090140136,27
accuracy,banfakenews,banglabert,0,0.9642716921868866,0.0013600713055115117,3
accuracy,banfakenews,banglabert,1,0.9099376172403263,0.05226957168264865,27
accuracy,banfakenews,banglabert,2,0.7589320769532784,0.1616270860619331,27
accuracy,banfakenews,banglabert,3,0.47964926056798846,0.26447667761782584,27
accuracy,banfakenews,banglabert,4,0.310866814989312,0.24578549540804345,27
accuracy,banfakenews,banglabert,5,0.2536317235963879,0.233622283315264,27
accuracy,banfakenews,char_ngram,0,0.9734982332155476,0.0,3
accuracy,banfakenews,char_ngram,1,0.9713824543035379,0.0014357072976913469,27
accuracy,banfakenews,char_ngram,2,0.970706277537844,0.0021644309404112243,27
accuracy,banfakenews,char_ngram,3,0.9693757361601884,0.0031503739513841617,27
accuracy,banfakenews,char_ngram,4,0.9609126205121493,0.015762154358983833,27
accuracy,banfakenews,char_ngram,5,0.9290668760633425,0.06645808112680125,27
accuracy,banfakenews,banglishbert,0,0.961523360816647,0.002229645993639638,3
accuracy,banfakenews,banglishbert,1,0.825524582297256,0.13405862773495375,27
accuracy,banfakenews,banglishbert,2,0.5855690790908694,0.22919573281680863,27
accuracy,banfakenews,banglishbert,3,0.35163373031453127,0.237638833983247,27
accuracy,banfakenews,banglishbert,4,0.25897570126074243,0.2200065871118064,27
accuracy,banfakenews,banglishbert,5,0.23190681847925662,0.19118158628577792,27
accuracy,banfakenews,xlmr,0,0.9623085983510012,0.0029446407538279706,3
accuracy,banfakenews,xlmr,1,0.9382279806308076,0.042777847585036326,27
accuracy,banfakenews,xlmr,2,0.8995332199101339,0.10027558718485002,27
accuracy,banfakenews,xlmr,3,0.8140513894341928,0.17944837175572365,27
accuracy,banfakenews,xlmr,4,0.7149369628757144,0.23256046218713697,27
accuracy,banfakenews,xlmr,5,0.6702002355712603,0.25703681781934223,27
accuracy,banfakenews,mbert,0,0.9326658814291323,0.0017992052198491692,3
accuracy,banfakenews,mbert,1,0.9296994285215723,0.004652010951531548,27
accuracy,banfakenews,mbert,2,0.9228940365571696,0.008795977105094256,27
accuracy,banfakenews,mbert,3,0.8961523360816648,0.03131602092996532,27
accuracy,banfakenews,mbert,4,0.8224926929284998,0.09416353813663329,27
accuracy,banfakenews,mbert,5,0.7407843650482049,0.15441305491021462,27
macro_f1,sentnob,banglabert,0,0.703016008192865,0.006497281650392541,3
macro_f1,sentnob,banglabert,1,0.6937157122169124,0.005548965334908199,27
