noise_type,severity,mean_cer,mean_accuracy_drop
char_insert,1,0.02551,0.02282815188529952
char_insert,2,0.05092,0.06377953952102411
char_insert,3,0.10243,0.12183525238673976
char_insert,4,0.1785,0.17122418496161107
char_insert,5,0.25536,0.20809421332777378
char_delete,1,0.03727,0.024268676197010897
char_delete,2,0.07484,0.0739648503210758
char_delete,3,0.14661,0.1603499500846325
char_delete,4,0.25,0.24074338938558804
char_delete,5,0.34149,0.30529775160646366
char_substitute,1,0.03528,0.03815117427847137
char_substitute,2,0.06885,0.09057489455949075
char_substitute,3,0.13874,0.1565998289055095
char_substitute,4,0.24322,0.21550137192542684
char_substitute,5,0.3471,0.2698513873494838
char_transpose,1,0.05123,0.031020073119887637
char_transpose,2,0.10056,0.08169919512862589
char_transpose,3,0.19835,0.16235816556785787
char_transpose,4,0.34037,0.23968738650495724
char_transpose,5,0.46853,0.31682147865861854
homophone_confuse,1,0.01963,0.011179167159937498
homophone_confuse,2,0.03926,0.03619518732969984
homophone_confuse,3,0.07774,0.08247607503502308
homophone_confuse,4,0.1329,0.13310523841438304
homophone_confuse,5,0.18584,0.16297226793957043
matra_perturb,1,0.02461,0.008620110633426159
matra_perturb,2,0.04919,0.026282026550545123
matra_perturb,3,0.09623,0.07461126020719733
matra_perturb,4,0.16655,0.13610993617525857
matra_perturb,5,0.23631,0.1806694748491402
conjunct_split,1,0.0061,0.0007425777554337376
conjunct_split,2,0.01193,0.0013302561887615916
conjunct_split,3,0.02414,0.004475755486757715
conjunct_split,4,0.04211,0.013169420819901911
conjunct_split,5,0.06055,0.02352523309513499
elongate,1,0.02278,0.013126233710274549
elongate,2,0.04693,0.03739416145367702
elongate,3,0.0918,0.09492583576705516
elongate,4,0.16134,0.16692716794598506
elongate,5,0.23081,0.2217508526804005
whitespace_error,1,0.03752,0.038140210536886765
whitespace_error,2,0.07501,0.09856858078888286
whitespace_error,3,0.14975,0.1828410063403927
whitespace_error,4,0.26216,0.25693294182920445
whitespace_error,5,0.37437,0.32428417545793387
