task,model,severity,relative_macro_f1,clean_macro_f1
sentnob,banglabert,0,1.0,0.703016008192865
sentnob,banglabert,1,0.986770861733491,0.703016008192865
sentnob,banglabert,2,0.9704720324035495,0.703016008192865
sentnob,banglabert,3,0.9259126918038514,0.703016008192865
sentnob,banglabert,4,0.8489951413882113,0.703016008192865
sentnob,banglabert,5,0.7554550147214482,0.703016008192865
sentnob,char_ngram,0,1.0,0.6752255951193024
sentnob,char_ngram,1,0.9935402754023394,0.6752255951193024
sentnob,char_ngram,2,0.9876145208205368,0.6752255951193024
sentnob,char_ngram,3,0.9490599461965609,0.6752255951193024
sentnob,char_ngram,4,0.8858308104059828,0.6752255951193024
sentnob,char_ngram,5,0.8097395781620158,0.6752255951193024
sentnob,banglishbert,0,1.0,0.7063686723354774
sentnob,banglishbert,1,0.9808730684359587,0.7063686723354774
sentnob,banglishbert,2,0.9587788191626175,0.7063686723354774
sentnob,banglishbert,3,0.9061627861786693,0.7063686723354774
sentnob,banglishbert,4,0.821309662939442,0.7063686723354774
sentnob,banglishbert,5,0.7227930813100202,0.7063686723354774
sentnob,xlmr,0,1.0,0.6727786041043515
sentnob,xlmr,1,0.9833590226602947,0.6727786041043515
sentnob,xlmr,2,0.9716679106937635,0.6727786041043515
sentnob,xlmr,3,0.9269803885262964,0.6727786041043515
sentnob,xlmr,4,0.8562100702866426,0.6727786041043515
sentnob,xlmr,5,0.7708699253441654,0.6727786041043515
sentnob,mbert,0,1.0,0.6592806636030869
sentnob,mbert,1,0.9835034333397066,0.6592806636030869
sentnob,mbert,2,0.9619246992822347,0.6592806636030869
sentnob,mbert,3,0.9223193784070447,0.6592806636030869
sentnob,mbert,4,0.846831992092968,0.6592806636030869
sentnob,mbert,5,0.7687326676902578,0.6592806636030869
bd_shs,banglabert,0,1.0,0.9210893816629286
bd_shs,banglabert,1,0.9900919126104912,0.9210893816629286
bd_shs,banglabert,2,0.9800089728701824,0.9210893816629286
bd_shs,banglabert,3,0.9544815312240855,0.9210893816629286
bd_shs,banglabert,4,0.9082673419669592,0.9210893816629286
bd_shs,banglabert,5,0.850658895166337,0.9210893816629286
bd_shs,char_ngram,0,1.0,0.9053582500074646
bd_shs,char_ngram,1,0.9895822068648342,0.9053582500074646
bd_shs,char_ngram,2,0.9784930386082481,0.9053582500074646
bd_shs,char_ngram,3,0.953646253335151,0.9053582500074646
bd_shs,char_ngram,4,0.9059878568487643,0.9053582500074646
bd_shs,char_ngram,5,0.8451038055257365,0.9053582500074646
bd_shs,banglishbert,0,0.9999999999999999,0.9174712038652243
bd_shs,banglishbert,1,0.9889723054246141,0.9174712038652243
bd_shs,banglishbert,2,0.978402301505201,0.9174712038652243
bd_shs,banglishbert,3,0.9538315827484019,0.9174712038652243
bd_shs,banglishbert,4,0.9089045021747189,0.9174712038652243
bd_shs,banglishbert,5,0.8571199800331392,0.9174712038652243
bd_shs,xlmr,0,1.0,0.9151388557985429
bd_shs,xlmr,1,0.990724106833117,0.9151388557985429
bd_shs,xlmr,2,0.9821229580711789,0.9151388557985429
bd_shs,xlmr,3,0.962788745077623,0.9151388557985429
bd_shs,xlmr,4,0.9279969822002511,0.9151388557985429
bd_shs,xlmr,5,0.8899943995468064,0.9151388557985429
bd_shs,mbert,0,1.0,0.9153748509794046
bd_shs,mbert,1,0.9894181470365022,0.9153748509794046
bd_shs,mbert,2,0.9792492876250956,0.9153748509794046
bd_shs,mbert,3,0.9569224670980154,0.9153748509794046
bd_shs,mbert,4,0.9176566276117634,0.9153748509794046
bd_shs,mbert,5,0.8751160858959245,0.9153748509794046
banfakenews,banglabert,0,1.0,0.9269758158634813
banfakenews,banglabert,1,0.9229915627920183,0.9269758158634813
banfakenews,banglabert,2,0.7635420153861986,0.9269758158634813
banfakenews,banglabert,3,0.4907147432746906,0.9269758158634813
banfakenews,banglabert,4,0.3162145551681345,0.9269758158634813
banfakenews,banglabert,5,0.2510956616582729,0.9269758158634813
banfakenews,char_ngram,0,1.0,0.9471431644787676
banfakenews,char_ngram,1,0.995552477519739,0.9471431644787676
banfakenews,char_ngram,2,0.9940301374606224,0.9471431644787676
banfakenews,char_ngram,3,0.9914554234745162,0.9471431644787676
banfakenews,char_ngram,4,0.9763760351671279,0.9471431644787676
banfakenews,char_ngram,5,0.931819057145873,0.9471431644787676
banfakenews,banglishbert,0,1.0,0.9193774785483845
banfakenews,banglishbert,1,0.8357769339992992,0.9193774785483845
banfakenews,banglishbert,2,0.6016702317728543,0.9193774785483845
banfakenews,banglishbert,3,0.366951624978941,0.9193774785483845
banfakenews,banglishbert,4,0.26157754841521147,0.9193774785483845
banfakenews,banglishbert,5,0.2295096842683046,0.9193774785483845
banfakenews,xlmr,0,1.0,0.920419799221499
banfakenews,xlmr,1,0.9623229042419967,0.920419799221499
banfakenews,xlmr,2,0.9148937025976794,0.920419799221499
banfakenews,xlmr,3,0.815307500618021,0.920419799221499
banfakenews,xlmr,4,0.7036360671426227,0.920419799221499
banfakenews,xlmr,5,0.6464072331415377,0.920419799221499
banfakenews,mbert,0,0.9999999999999999,0.8590517416203475
banfakenews,mbert,1,0.9975352412357417,0.8590517416203475
banfakenews,mbert,2,0.987760307678002,0.8590517416203475
banfakenews,mbert,3,0.948867225945515,0.8590517416203475
banfakenews,mbert,4,0.8604053453391846,0.8590517416203475
banfakenews,mbert,5,0.7754363144911026,0.8590517416203475
