dataset,char_class,count
sentnob,replacement,0
sentnob,emoji,602
sentnob,bengali,1000711
sentnob,latin,0
sentnob,digit,2551
sentnob,punctuation,19277
sentnob,whitespace,231736
sentnob,other,1210
bd_shs,replacement,8712
bd_shs,emoji,645
bd_shs,bengali,2918849
bd_shs,latin,5198
bd_shs,digit,791
bd_shs,punctuation,36887
bd_shs,whitespace,608313
bd_shs,other,2389
banfakenews,replacement,0
banfakenews,emoji,35
banfakenews,bengali,11832181
banfakenews,latin,18795
banfakenews,digit,626
banfakenews,punctuation,340517
banfakenews,whitespace,2226042
banfakenews,other,3756
