dataset,split_or_file,label,count
sentnob,train,1,5133
sentnob,train,2,4548
sentnob,train,0,2894
sentnob,val,1,623
sentnob,val,2,590
sentnob,val,0,354
sentnob,test,0,361
sentnob,test,2,571
sentnob,test,1,654
sentnob,ALL,1,6410
sentnob,ALL,2,5709
sentnob,ALL,0,3609
bd_shs,train,1,19324
bd_shs,train,0,20900
bd_shs,val,1,2416
bd_shs,val,0,2612
bd_shs,test,1,2416
bd_shs,test,0,2613
bd_shs,ALL,1,24156
bd_shs,ALL,0,26125
banfakenews,LabeledAuthentic-7K,1,7202
banfakenews,LabeledFake-1K,0,1299
banfakenews,ALL,1,7202
banfakenews,ALL,0,1299
