dataset,n_grapheme_clusters
sentnob,76
sentnob,66
sentnob,18
sentnob,20
sentnob,43
sentnob,39
sentnob,115
sentnob,37
sentnob,32
sentnob,34
sentnob,22
sentnob,43
sentnob,54
sentnob,37
sentnob,72
sentnob,19
sentnob,156
sentnob,56
sentnob,43
sentnob,63
sentnob,42
sentnob,15
sentnob,22
sentnob,23
sentnob,26
sentnob,65
sentnob,17
sentnob,21
sentnob,92
sentnob,22
sentnob,59
sentnob,182
sentnob,51
sentnob,95
sentnob,70
sentnob,40
sentnob,35
sentnob,69
sentnob,100
sentnob,37
sentnob,44
sentnob,41
sentnob,77
sentnob,36
sentnob,34
sentnob,42
sentnob,45
sentnob,34
sentnob,17
sentnob,38
sentnob,66
sentnob,67
sentnob,66
sentnob,51
sentnob,19
sentnob,101
sentnob,60
sentnob,40
sentnob,28
sentnob,59
sentnob,57
sentnob,40
sentnob,48
sentnob,98
sentnob,24
sentnob,44
sentnob,72
sentnob,49
sentnob,30
sentnob,18
sentnob,97
sentnob,144
sentnob,61
sentnob,76
sentnob,70
sentnob,64
sentnob,45
sentnob,15
sentnob,140
sentnob,23
sentnob,37
sentnob,51
sentnob,82
sentnob,44
sentnob,27
sentnob,59
sentnob,23
sentnob,33
sentnob,40
sentnob,42
sentnob,23
sentnob,98
sentnob,41
sentnob,36
sentnob,32
sentnob,47
sentnob,39
sentnob,75
sentnob,24
sentnob,25
sentnob,52
sentnob,27
sentnob,17
sentnob,79
sentnob,19
sentnob,27
sentnob,68
sentnob,44
sentnob,175
sentnob,34
sentnob,41
sentnob,23
sentnob,28
sentnob,15
sentnob,58
sentnob,185
sentnob,21
sentnob,44
sentnob,40
sentnob,45
sentnob,47
sentnob,41
sentnob,46
sentnob,56
sentnob,30
sentnob,102
sentnob,23
sentnob,39
sentnob,38
sentnob,27
sentnob,141
sentnob,24
sentnob,76
sentnob,24
sentnob,33
sentnob,27
sentnob,31
sentnob,49
sentnob,25
sentnob,49
sentnob,46
sentnob,32
sentnob,18
sentnob,62
sentnob,17
sentnob,24
sentnob,72
sentnob,44
sentnob,68
sentnob,69
sentnob,38
sentnob,72
sentnob,95
sentnob,34
sentnob,90
sentnob,65
sentnob,50
sentnob,26
sentnob,51
sentnob,33
sentnob,15
sentnob,162
sentnob,32
sentnob,52
sentnob,28
sentnob,23
sentnob,23
sentnob,31
sentnob,34
sentnob,95
sentnob,67
sentnob,163
sentnob,34
sentnob,132
sentnob,27
sentnob,87
sentnob,18
sentnob,54
sentnob,53
sentnob,61
sentnob,57
sentnob,65
sentnob,127
sentnob,32
sentnob,126
sentnob,27
sentnob,34
sentnob,58
sentnob,147
sentnob,72
sentnob,64
sentnob,81
sentnob,94
sentnob,71
sentnob,68
sentnob,56
sentnob,47
sentnob,40
sentnob,13
sentnob,158
sentnob,73
sentnob,24
sentnob,40
sentnob,54
sentnob,48
sentnob,48
sentnob,51
sentnob,19
sentnob,24
sentnob,89
sentnob,21
sentnob,125
sentnob,47
sentnob,22
sentnob,79
sentnob,45
sentnob,34
sentnob,133
sentnob,39
sentnob,16
sentnob,44
sentnob,49
sentnob,32
sentnob,63
sentnob,84
sentnob,45
sentnob,15
sentnob,78
sentnob,71
sentnob,28
sentnob,94
sentnob,74
sentnob,25
sentnob,47
sentnob,51
sentnob,74
sentnob,62
sentnob,38
sentnob,41
