group,noise_type,s1,s2,s3,s4,s5,s2_s1,s3_s2,s4_s3,s5_s4,rule_holds_s3plus
synthetic,char_insert,0.02551,0.05092,0.10243,0.17850,0.25536,1.996,2.012,1.743,1.431,True
synthetic,char_delete,0.03727,0.07484,0.14661,0.25000,0.34149,2.008,1.959,1.705,1.366,True
synthetic,char_substitute,0.03528,0.06885,0.13874,0.24322,0.34710,1.951,2.015,1.753,1.427,True
synthetic,char_transpose,0.05123,0.10056,0.19835,0.34037,0.46853,1.963,1.972,1.716,1.377,True
synthetic,homophone_confuse,0.01963,0.03926,0.07774,0.13290,0.18584,2.000,1.980,1.710,1.398,True
synthetic,matra_perturb,0.02461,0.04919,0.09623,0.16655,0.23631,1.998,1.956,1.731,1.419,True
synthetic,conjunct_split,0.00610,0.01193,0.02414,0.04211,0.06055,1.955,2.023,1.745,1.438,True
synthetic,elongate,0.02278,0.04693,0.09180,0.16134,0.23081,2.060,1.956,1.758,1.431,True
synthetic,whitespace_error,0.03752,0.07501,0.14975,0.26216,0.37437,1.999,1.996,1.751,1.428,True
real_sentnob,char_insert,0.02208,0.04439,0.08983,0.15749,0.22576,2.010,2.024,1.753,1.433,True
real_sentnob,char_delete,0.03454,0.06932,0.13600,0.22814,0.31137,2.007,1.962,1.678,1.365,True
real_sentnob,char_substitute,0.03549,0.07069,0.14315,0.25011,0.35789,1.992,2.025,1.747,1.431,True
real_sentnob,char_transpose,0.04399,0.09048,0.17729,0.30626,0.42458,2.057,1.959,1.727,1.386,True
real_sentnob,homophone_confuse,0.01736,0.03553,0.07071,0.12197,0.16974,2.047,1.990,1.725,1.392,True
real_sentnob,matra_perturb,0.02304,0.04692,0.09403,0.16374,0.23060,2.036,2.004,1.741,1.408,True
real_sentnob,conjunct_split,0.00331,0.00721,0.01468,0.02592,0.03615,2.181,2.036,1.765,1.395,True
real_sentnob,elongate,0.02814,0.05721,0.11429,0.19665,0.28227,2.033,1.998,1.721,1.435,True
real_sentnob,whitespace_error,0.03594,0.07178,0.14232,0.24920,0.35556,1.997,1.983,1.751,1.427,True
real_bd_shs,char_insert,0.02381,0.04825,0.09634,0.16525,0.23735,2.026,1.996,1.715,1.436,True
real_bd_shs,char_delete,0.03632,0.07409,0.14226,0.24142,0.32903,2.040,1.920,1.697,1.363,True
real_bd_shs,char_substitute,0.03724,0.07377,0.14760,0.26002,0.37126,1.981,2.001,1.762,1.428,True
real_bd_shs,char_transpose,0.04680,0.09494,0.18407,0.31592,0.44276,2.029,1.939,1.716,1.401,True
real_bd_shs,homophone_confuse,0.01834,0.03614,0.07309,0.12439,0.17782,1.971,2.022,1.702,1.430,True
real_bd_shs,matra_perturb,0.02497,0.04810,0.09850,0.17176,0.24500,1.926,2.048,1.744,1.426,True
real_bd_shs,conjunct_split,0.00353,0.00760,0.01209,0.02369,0.03421,2.155,1.591,1.958,1.444,False
real_bd_shs,elongate,0.02885,0.05819,0.11227,0.20114,0.28771,2.017,1.929,1.792,1.430,True
real_bd_shs,whitespace_error,0.03532,0.07186,0.14183,0.25008,0.35562,2.035,1.974,1.763,1.422,True
real_banfakenews,char_insert,0.02674,0.05348,0.10707,0.18739,0.26767,2.000,2.002,1.750,1.428,True
real_banfakenews,char_delete,0.03789,0.07528,0.14892,0.25420,0.35174,1.987,1.978,1.707,1.384,True
real_banfakenews,char_substitute,0.03678,0.07365,0.14720,0.25759,0.36795,2.002,1.999,1.750,1.428,True
real_banfakenews,char_transpose,0.05295,0.10485,0.20671,0.35065,0.48144,1.980,1.972,1.696,1.373,True
real_banfakenews,homophone_confuse,0.02120,0.04204,0.08308,0.14234,0.19893,1.983,1.976,1.713,1.398,True
real_banfakenews,matra_perturb,0.02686,0.05345,0.10607,0.18234,0.25714,1.990,1.985,1.719,1.410,True
real_banfakenews,conjunct_split,0.00698,0.01399,0.02804,0.04905,0.07010,2.004,2.004,1.749,1.429,True
real_banfakenews,elongate,0.02506,0.05043,0.10113,0.17593,0.25194,2.013,2.005,1.740,1.432,True
real_banfakenews,whitespace_error,0.03819,0.07653,0.15312,0.26787,0.38253,2.004,2.001,1.749,1.428,True
real_ALL,char_insert,0.02395,0.04843,0.09666,0.17022,0.24312,2.022,1.996,1.761,1.428,True
real_ALL,char_delete,0.03623,0.07230,0.14226,0.24109,0.32945,1.996,1.968,1.695,1.367,True
real_ALL,char_substitute,0.03770,0.07293,0.14547,0.25481,0.36450,1.935,1.995,1.752,1.430,True
real_ALL,char_transpose,0.04630,0.09644,0.18817,0.32424,0.44852,2.083,1.951,1.723,1.383,True
real_ALL,homophone_confuse,0.01897,0.03697,0.07402,0.12784,0.17913,1.949,2.002,1.727,1.401,True
real_ALL,matra_perturb,0.02468,0.04992,0.09946,0.17203,0.24365,2.023,1.992,1.730,1.416,True
real_ALL,conjunct_split,0.00451,0.00877,0.01907,0.03261,0.04578,1.946,2.175,1.710,1.404,True
real_ALL,elongate,0.02704,0.05553,0.10841,0.18898,0.27186,2.054,1.952,1.743,1.439,True
real_ALL,whitespace_error,0.03618,0.07357,0.14538,0.25544,0.36488,2.034,1.976,1.757,1.428,True
