dataset,homophone_set,n_eligible,eligible_per_1k_texts,texts_with_ge1,n_applied
sentnob,শ/ষ/স,684,2280.000,248,409
sentnob,ন/ণ,1053,3510.000,278,582
sentnob,ই/ঈ,397,1323.333,208,257
sentnob,উ/ঊ,64,213.333,52,33
sentnob,ি/ী,1048,3493.333,272,647
sentnob,ু/ূ,424,1413.333,194,244
sentnob,র/ড়/ঢ়,1358,4526.667,281,818
sentnob,জ/য,490,1633.333,201,322
bd_shs,শ/ষ/স,634,2113.333,216,374
bd_shs,ন/ণ,987,3290.000,231,615
bd_shs,ই/ঈ,314,1046.667,151,184
bd_shs,উ/ঊ,49,163.333,46,37
bd_shs,ি/ী,971,3236.667,241,588
bd_shs,ু/ূ,481,1603.333,202,288
bd_shs,র/ড়/ঢ়,1378,4593.333,270,800
bd_shs,জ/য,455,1516.667,184,271
banfakenews,শ/ষ/স,21814,72713.333,300,12978
banfakenews,ন/ণ,25672,85573.333,300,15378
banfakenews,ই/ঈ,4599,15330.000,298,2780
banfakenews,উ/ঊ,1909,6363.333,278,1175
banfakenews,ি/ী,29117,97056.667,300,17450
banfakenews,ু/ূ,8665,28883.333,300,5210
banfakenews,র/ড়/ঢ়,38036,126786.667,300,22834
banfakenews,জ/য,12611,42036.667,300,7655
