dataset,char_class,count
sentnob,replacement,0
sentnob,emoji,586
sentnob,bengali,927870
sentnob,latin,4
sentnob,digit,2531
sentnob,punctuation,17787
sentnob,whitespace,205771
sentnob,other,835
bd_shs,replacement,8703
bd_shs,emoji,645
bd_shs,bengali,2971209
bd_shs,latin,4190
bd_shs,digit,425
bd_shs,punctuation,36447
bd_shs,whitespace,608174
bd_shs,other,2380
banfakenews,replacement,0
banfakenews,emoji,35
banfakenews,bengali,12108986
banfakenews,latin,14571
banfakenews,digit,434
banfakenews,punctuation,339688
banfakenews,whitespace,2210292
banfakenews,other,3873
