dataset,split,label,count,pct_within_split
sentnob,train,negative,3920,34.92
sentnob,train,positive,4655,41.46
sentnob,train,neutral,2652,23.62
sentnob,val,neutral,351,22.54
sentnob,val,negative,586,37.64
sentnob,val,positive,620,39.82
sentnob,test,positive,646,41.17
sentnob,test,neutral,358,22.82
sentnob,test,negative,565,36.01
bd_shs,train,not_hate,18199,51.87
bd_shs,train,hate,16890,48.13
bd_shs,val,not_hate,2600,51.87
bd_shs,val,hate,2413,48.13
bd_shs,test,hate,4825,48.13
bd_shs,test,not_hate,5200,51.87
banfakenews,train,authentic,5036,84.75
banfakenews,train,fake,906,15.25
banfakenews,val,fake,130,15.31
banfakenews,val,authentic,719,84.69
banfakenews,test,fake,259,15.25
banfakenews,test,authentic,1439,84.75
