dataset,split,label,count
sentnob,train,negative,3920
sentnob,train,positive,4655
sentnob,train,neutral,2652
sentnob,val,neutral,351
sentnob,val,negative,586
sentnob,val,positive,620
sentnob,test,positive,646
sentnob,test,neutral,358
sentnob,test,negative,565
bd_shs,train,not_hate,18199
bd_shs,train,hate,16890
bd_shs,val,not_hate,2600
bd_shs,val,hate,2413
bd_shs,test,hate,4825
bd_shs,test,not_hate,5200
banfakenews,train,authentic,5036
banfakenews,train,fake,906
banfakenews,val,fake,130
banfakenews,val,authentic,719
banfakenews,test,fake,259
banfakenews,test,authentic,1439
