dataset,noise_type,n_eligible
sentnob,char_insert,89
sentnob,char_insert,21
sentnob,char_insert,21
sentnob,char_insert,18
sentnob,char_insert,17
sentnob,char_insert,9
sentnob,char_insert,19
sentnob,char_insert,20
sentnob,char_insert,14
sentnob,char_insert,14
sentnob,char_insert,16
sentnob,char_insert,82
sentnob,char_insert,8
sentnob,char_insert,19
sentnob,char_insert,21
sentnob,char_insert,53
sentnob,char_insert,17
sentnob,char_insert,26
sentnob,char_insert,46
sentnob,char_insert,13
sentnob,char_insert,68
sentnob,char_insert,28
sentnob,char_insert,26
sentnob,char_insert,11
sentnob,char_insert,12
sentnob,char_insert,51
sentnob,char_insert,12
sentnob,char_insert,54
sentnob,char_insert,32
sentnob,char_insert,42
sentnob,char_insert,20
sentnob,char_insert,24
sentnob,char_insert,23
sentnob,char_insert,20
sentnob,char_insert,20
sentnob,char_insert,11
sentnob,char_insert,11
sentnob,char_insert,31
sentnob,char_insert,16
sentnob,char_insert,27
sentnob,char_insert,29
sentnob,char_insert,20
sentnob,char_insert,28
sentnob,char_insert,6
sentnob,char_insert,7
sentnob,char_insert,45
sentnob,char_insert,12
sentnob,char_insert,11
sentnob,char_insert,34
sentnob,char_insert,19
sentnob,char_insert,70
sentnob,char_insert,8
sentnob,char_insert,24
sentnob,char_insert,22
sentnob,char_insert,23
sentnob,char_insert,53
sentnob,char_insert,26
sentnob,char_insert,20
sentnob,char_insert,20
sentnob,char_insert,20
sentnob,char_insert,46
sentnob,char_insert,42
sentnob,char_insert,8
sentnob,char_insert,59
sentnob,char_insert,31
sentnob,char_insert,12
sentnob,char_insert,16
sentnob,char_insert,20
sentnob,char_insert,13
sentnob,char_insert,30
sentnob,char_insert,8
sentnob,char_insert,15
sentnob,char_insert,11
sentnob,char_insert,36
sentnob,char_insert,14
sentnob,char_insert,10
sentnob,char_insert,22
sentnob,char_insert,21
sentnob,char_insert,15
sentnob,char_insert,10
sentnob,char_insert,13
sentnob,char_insert,35
sentnob,char_insert,11
sentnob,char_insert,33
sentnob,char_insert,44
sentnob,char_insert,8
sentnob,char_insert,17
sentnob,char_insert,13
sentnob,char_insert,25
sentnob,char_insert,22
sentnob,char_insert,41
sentnob,char_insert,13
sentnob,char_insert,50
sentnob,char_insert,14
sentnob,char_insert,17
sentnob,char_insert,8
sentnob,char_insert,94
sentnob,char_insert,25
sentnob,char_insert,12
sentnob,char_insert,32
sentnob,char_insert,48
sentnob,char_insert,21
sentnob,char_insert,23
sentnob,char_insert,9
sentnob,char_insert,25
sentnob,char_insert,15
sentnob,char_insert,46
sentnob,char_insert,12
sentnob,char_insert,42
sentnob,char_insert,9
sentnob,char_insert,6
sentnob,char_insert,11
sentnob,char_insert,11
sentnob,char_insert,33
sentnob,char_insert,17
sentnob,char_insert,13
sentnob,char_insert,33
sentnob,char_insert,7
sentnob,char_insert,19
sentnob,char_insert,11
sentnob,char_insert,21
sentnob,char_insert,56
sentnob,char_insert,48
sentnob,char_insert,19
sentnob,char_insert,24
sentnob,char_insert,9
sentnob,char_insert,17
sentnob,char_insert,7
sentnob,char_insert,11
sentnob,char_insert,19
sentnob,char_insert,42
sentnob,char_insert,42
sentnob,char_insert,40
sentnob,char_insert,18
sentnob,char_insert,11
sentnob,char_insert,90
sentnob,char_insert,17
sentnob,char_insert,11
sentnob,char_insert,15
sentnob,char_insert,45
sentnob,char_insert,15
sentnob,char_insert,27
sentnob,char_insert,21
sentnob,char_insert,24
sentnob,char_insert,29
sentnob,char_insert,40
sentnob,char_insert,9
sentnob,char_insert,20
sentnob,char_insert,14
sentnob,char_insert,9
sentnob,char_insert,52
sentnob,char_insert,44
sentnob,char_insert,13
sentnob,char_insert,29
sentnob,char_insert,34
sentnob,char_insert,19
sentnob,char_insert,12
sentnob,char_insert,8
sentnob,char_insert,27
sentnob,char_insert,17
sentnob,char_insert,25
sentnob,char_insert,25
sentnob,char_insert,47
sentnob,char_insert,40
sentnob,char_insert,10
sentnob,char_insert,8
sentnob,char_insert,46
sentnob,char_insert,23
sentnob,char_insert,18
sentnob,char_insert,14
sentnob,char_insert,26
sentnob,char_insert,32
sentnob,char_insert,16
sentnob,char_insert,23
sentnob,char_insert,30
sentnob,char_insert,24
sentnob,char_insert,35
sentnob,char_insert,11
sentnob,char_insert,53
sentnob,char_insert,30
sentnob,char_insert,15
sentnob,char_insert,7
sentnob,char_insert,8
sentnob,char_insert,44
sentnob,char_insert,22
sentnob,char_insert,25
sentnob,char_insert,29
sentnob,char_insert,7
sentnob,char_insert,14
sentnob,char_insert,59
sentnob,char_insert,9
sentnob,char_insert,34
sentnob,char_insert,25
sentnob,char_insert,12
sentnob,char_insert,16
sentnob,char_insert,9
sentnob,char_insert,18
sentnob,char_insert,22
sentnob,char_insert,13
sentnob,char_insert,67
sentnob,char_insert,34
sentnob,char_insert,35
sentnob,char_insert,17
sentnob,char_insert,13
sentnob,char_insert,66
sentnob,char_insert,15
sentnob,char_insert,11
sentnob,char_insert,19
sentnob,char_insert,25
sentnob,char_insert,24
sentnob,char_insert,28
sentnob,char_insert,11
sentnob,char_insert,9
sentnob,char_insert,21
sentnob,char_insert,32
sentnob,char_insert,36
sentnob,char_insert,20
sentnob,char_insert,13
sentnob,char_insert,29
sentnob,char_insert,18
sentnob,char_insert,11
sentnob,char_insert,19
sentnob,char_insert,9
sentnob,char_insert,10
sentnob,char_insert,30
sentnob,char_insert,19
sentnob,char_insert,47
sentnob,char_insert,14
sentnob,char_insert,58
sentnob,char_insert,12
sentnob,char_insert,41
sentnob,char_insert,24
sentnob,char_insert,42
sentnob,char_insert,6
sentnob,char_insert,62
sentnob,char_insert,22
sentnob,char_insert,17
sentnob,char_insert,20
sentnob,char_insert,19
sentnob,char_insert,15
sentnob,char_insert,36
sentnob,char_insert,13
sentnob,char_insert,19
sentnob,char_insert,26
sentnob,char_insert,14
sentnob,char_insert,13
sentnob,char_insert,12
sentnob,char_insert,24
sentnob,char_insert,40
