dataset,label,n_grapheme_clusters
sentnob,negative,26
sentnob,negative,42
sentnob,negative,19
sentnob,negative,30
sentnob,negative,59
sentnob,negative,30
sentnob,negative,43
sentnob,negative,44
sentnob,negative,80
sentnob,negative,69
sentnob,negative,53
sentnob,negative,123
sentnob,negative,49
sentnob,negative,52
sentnob,negative,51
sentnob,negative,168
sentnob,negative,88
sentnob,negative,37
sentnob,negative,31
sentnob,negative,134
sentnob,negative,27
sentnob,negative,52
sentnob,negative,22
sentnob,negative,33
sentnob,negative,46
sentnob,negative,59
sentnob,negative,21
sentnob,negative,168
sentnob,negative,53
sentnob,negative,37
sentnob,negative,46
sentnob,negative,43
sentnob,negative,34
sentnob,negative,33
sentnob,negative,36
sentnob,negative,29
sentnob,negative,21
sentnob,negative,26
sentnob,negative,20
sentnob,negative,61
sentnob,negative,135
sentnob,negative,29
sentnob,negative,123
sentnob,negative,41
sentnob,negative,105
sentnob,negative,52
sentnob,negative,81
sentnob,negative,15
sentnob,negative,111
sentnob,negative,41
sentnob,negative,39
sentnob,negative,36
sentnob,negative,63
sentnob,negative,52
sentnob,negative,38
sentnob,negative,29
sentnob,negative,23
sentnob,negative,120
sentnob,negative,64
sentnob,negative,110
sentnob,negative,32
sentnob,negative,17
sentnob,negative,91
sentnob,negative,37
sentnob,negative,27
sentnob,negative,24
sentnob,negative,35
sentnob,negative,83
sentnob,negative,49
sentnob,negative,38
sentnob,negative,21
sentnob,negative,24
sentnob,negative,56
sentnob,negative,32
sentnob,negative,17
sentnob,negative,44
sentnob,negative,81
sentnob,negative,126
sentnob,negative,47
sentnob,negative,30
sentnob,negative,66
sentnob,negative,44
sentnob,negative,27
sentnob,negative,58
sentnob,negative,45
sentnob,negative,41
sentnob,negative,85
sentnob,negative,68
sentnob,negative,85
sentnob,negative,34
sentnob,negative,60
sentnob,negative,16
sentnob,negative,135
sentnob,negative,50
sentnob,negative,37
sentnob,negative,16
sentnob,negative,100
sentnob,negative,127
sentnob,negative,31
sentnob,negative,68
sentnob,negative,43
sentnob,negative,132
sentnob,negative,62
sentnob,negative,79
sentnob,negative,32
sentnob,negative,122
sentnob,negative,65
sentnob,negative,55
sentnob,negative,58
sentnob,negative,62
sentnob,negative,26
sentnob,negative,55
sentnob,negative,42
sentnob,negative,90
sentnob,negative,47
sentnob,negative,151
sentnob,negative,34
sentnob,negative,25
sentnob,negative,15
sentnob,negative,28
sentnob,negative,18
sentnob,negative,123
sentnob,negative,75
sentnob,negative,99
sentnob,negative,38
sentnob,negative,50
sentnob,negative,22
sentnob,negative,90
sentnob,negative,19
sentnob,negative,58
sentnob,negative,60
sentnob,negative,59
sentnob,negative,19
sentnob,negative,30
sentnob,negative,24
sentnob,negative,17
sentnob,negative,26
sentnob,negative,51
sentnob,negative,64
sentnob,negative,91
sentnob,negative,41
sentnob,negative,69
sentnob,negative,143
sentnob,negative,60
sentnob,negative,32
sentnob,negative,26
sentnob,negative,55
sentnob,negative,106
sentnob,negative,99
sentnob,negative,36
sentnob,negative,55
sentnob,negative,43
sentnob,negative,33
sentnob,negative,32
sentnob,negative,97
sentnob,negative,35
sentnob,negative,28
sentnob,negative,67
sentnob,negative,81
sentnob,negative,42
sentnob,negative,59
sentnob,negative,62
sentnob,negative,19
sentnob,negative,27
sentnob,negative,22
sentnob,negative,55
sentnob,negative,16
sentnob,negative,30
sentnob,negative,43
sentnob,negative,24
sentnob,negative,83
sentnob,negative,59
sentnob,negative,25
sentnob,negative,144
sentnob,negative,99
sentnob,negative,25
sentnob,negative,56
sentnob,negative,48
sentnob,negative,89
sentnob,negative,34
sentnob,negative,18
sentnob,negative,31
sentnob,negative,18
sentnob,negative,32
sentnob,negative,24
sentnob,negative,30
sentnob,negative,15
sentnob,negative,28
sentnob,negative,17
sentnob,negative,47
sentnob,negative,69
sentnob,negative,96
sentnob,negative,155
sentnob,negative,18
sentnob,negative,37
sentnob,negative,31
sentnob,negative,44
sentnob,negative,43
sentnob,negative,16
sentnob,negative,89
sentnob,negative,50
sentnob,negative,25
sentnob,negative,36
sentnob,negative,25
sentnob,negative,21
sentnob,negative,44
sentnob,negative,138
sentnob,negative,86
sentnob,negative,18
sentnob,negative,65
sentnob,negative,55
sentnob,negative,19
sentnob,negative,37
sentnob,negative,19
sentnob,negative,25
sentnob,negative,28
sentnob,negative,53
sentnob,negative,89
sentnob,negative,16
sentnob,negative,20
sentnob,negative,30
sentnob,negative,63
sentnob,negative,15
sentnob,negative,19
sentnob,negative,22
sentnob,negative,31
sentnob,negative,28
sentnob,negative,28
sentnob,negative,34
sentnob,negative,90
sentnob,negative,20
sentnob,negative,82
sentnob,negative,81
sentnob,negative,53
sentnob,negative,40
sentnob,negative,66
sentnob,negative,20
sentnob,negative,38
sentnob,negative,136
sentnob,negative,16
sentnob,negative,46
sentnob,negative,22
sentnob,negative,46
sentnob,negative,17
sentnob,negative,26
sentnob,negative,39
sentnob,negative,35
sentnob,negative,20
sentnob,negative,80
sentnob,negative,50
sentnob,negative,65
sentnob,negative,71
sentnob,negative,17
sentnob,negative,23
sentnob,negative,84
sentnob,negative,55
sentnob,negative,28
sentnob,negative,61
sentnob,negative,110
sentnob,negative,94
sentnob,negative,63
sentnob,negative,34
sentnob,negative,18
sentnob,negative,18
sentnob,negative,45
sentnob,negative,44
sentnob,negative,136
sentnob,negative,48
sentnob,negative,64
sentnob,negative,47
sentnob,negative,24
sentnob,negative,50
sentnob,negative,20
sentnob,negative,122
sentnob,negative,155
sentnob,negative,170
sentnob,negative,16
sentnob,negative,23
sentnob,negative,32
sentnob,negative,42
sentnob,negative,20
sentnob,negative,20
sentnob,negative,56
sentnob,negative,29
sentnob,negative,26
sentnob,negative,27
sentnob,negative,15
sentnob,negative,115
sentnob,negative,29
sentnob,negative,30
sentnob,negative,24
sentnob,negative,79
sentnob,negative,95
sentnob,negative,39
sentnob,negative,25
sentnob,negative,38
sentnob,negative,50
sentnob,negative,145
sentnob,negative,21
sentnob,negative,63
sentnob,negative,65
sentnob,negative,34
sentnob,negative,90
sentnob,negative,30
sentnob,negative,35
sentnob,negative,35
sentnob,negative,73
sentnob,negative,118
sentnob,negative,119
sentnob,negative,39
sentnob,negative,45
sentnob,negative,35
sentnob,negative,31
sentnob,negative,45
sentnob,negative,25
sentnob,negative,153
sentnob,negative,34
sentnob,negative,131
sentnob,negative,85
sentnob,negative,15
sentnob,negative,56
sentnob,negative,26
sentnob,negative,40
sentnob,negative,30
sentnob,negative,61
sentnob,negative,34
sentnob,negative,129
sentnob,negative,32
sentnob,negative,37
sentnob,negative,19
sentnob,negative,56
sentnob,negative,180
sentnob,negative,65
sentnob,negative,53
sentnob,negative,81
sentnob,negative,35
sentnob,negative,86
sentnob,negative,25
sentnob,negative,95
sentnob,negative,86
sentnob,negative,18
sentnob,negative,21
sentnob,negative,36
sentnob,negative,70
sentnob,negative,37
sentnob,negative,34
sentnob,negative,26
sentnob,negative,31
sentnob,negative,36
sentnob,negative,28
sentnob,negative,160
sentnob,negative,13
sentnob,negative,29
sentnob,negative,31
sentnob,negative,52
sentnob,negative,68
sentnob,negative,33
sentnob,negative,74
sentnob,negative,62
sentnob,negative,60
sentnob,negative,107
sentnob,negative,48
sentnob,negative,44
sentnob,negative,61
sentnob,negative,29
sentnob,negative,66
sentnob,negative,41
sentnob,negative,28
sentnob,negative,37
sentnob,negative,64
sentnob,negative,25
sentnob,negative,54
sentnob,negative,50
sentnob,negative,131
sentnob,negative,70
sentnob,negative,131
sentnob,negative,63
sentnob,negative,21
sentnob,negative,55
sentnob,negative,28
sentnob,negative,33
sentnob,negative,96
sentnob,negative,92
sentnob,negative,17
sentnob,negative,31
sentnob,negative,23
sentnob,negative,24
sentnob,negative,117
sentnob,negative,38
sentnob,negative,151
sentnob,negative,53
sentnob,negative,54
sentnob,negative,136
sentnob,negative,111
sentnob,negative,18
sentnob,negative,94
sentnob,negative,33
sentnob,negative,46
sentnob,negative,25
sentnob,negative,97
sentnob,negative,106
sentnob,negative,56
sentnob,negative,72
sentnob,negative,72
sentnob,negative,30
sentnob,negative,60
sentnob,negative,56
sentnob,negative,108
sentnob,negative,31
sentnob,negative,35
sentnob,negative,34
sentnob,negative,58
sentnob,negative,41
sentnob,negative,73
sentnob,negative,18
sentnob,negative,19
sentnob,negative,128
sentnob,negative,15
sentnob,negative,58
sentnob,negative,55
sentnob,negative,19
sentnob,negative,50
sentnob,negative,37
sentnob,negative,57
sentnob,negative,58
sentnob,negative,18
sentnob,negative,53
sentnob,negative,41
sentnob,negative,47
sentnob,negative,32
sentnob,negative,83
sentnob,negative,168
sentnob,negative,25
sentnob,negative,22
sentnob,negative,82
sentnob,negative,113
sentnob,negative,21
sentnob,negative,21
sentnob,negative,83
sentnob,negative,17
sentnob,negative,39
sentnob,negative,24
sentnob,negative,41
sentnob,negative,69
sentnob,negative,32
sentnob,negative,30
sentnob,negative,19
sentnob,negative,37
sentnob,negative,71
sentnob,negative,66
sentnob,negative,32
sentnob,negative,34
sentnob,negative,64
sentnob,negative,81
sentnob,negative,87
sentnob,negative,46
sentnob,negative,72
sentnob,negative,31
sentnob,negative,30
sentnob,negative,115
sentnob,negative,69
sentnob,negative,38
sentnob,negative,24
sentnob,negative,57
sentnob,negative,25
sentnob,negative,54
sentnob,negative,34
sentnob,negative,102
sentnob,negative,27
sentnob,negative,52
sentnob,negative,32
sentnob,negative,26
sentnob,negative,63
sentnob,negative,146
sentnob,negative,18
sentnob,negative,88
sentnob,negative,40
sentnob,negative,52
sentnob,negative,25
sentnob,negative,31
sentnob,negative,55
sentnob,negative,44
sentnob,negative,80
sentnob,negative,70
sentnob,negative,28
sentnob,negative,41
sentnob,negative,16
sentnob,negative,14
sentnob,negative,16
sentnob,negative,100
sentnob,negative,104
sentnob,negative,47
sentnob,negative,47
sentnob,negative,38
sentnob,negative,53
sentnob,negative,16
sentnob,negative,123
sentnob,negative,42
sentnob,negative,43
sentnob,negative,93
sentnob,negative,148
sentnob,negative,34
sentnob,negative,53
sentnob,negative,21
sentnob,negative,38
sentnob,negative,36
sentnob,negative,48
sentnob,negative,115
sentnob,negative,58
sentnob,negative,30
sentnob,negative,19
sentnob,negative,40
sentnob,negative,76
sentnob,negative,27
sentnob,negative,156
sentnob,negative,35
sentnob,negative,23
sentnob,negative,93
sentnob,negative,115
sentnob,negative,38
sentnob,negative,46
sentnob,negative,57
sentnob,negative,88
sentnob,negative,47
sentnob,negative,109
sentnob,negative,30
sentnob,negative,26
sentnob,negative,16
sentnob,negative,22
sentnob,negative,16
sentnob,negative,29
sentnob,negative,27
sentnob,negative,29
sentnob,negative,40
sentnob,negative,52
sentnob,negative,34
sentnob,negative,57
sentnob,negative,49
sentnob,negative,27
sentnob,negative,137
sentnob,negative,37
sentnob,negative,31
sentnob,negative,56
sentnob,negative,43
sentnob,negative,65
sentnob,negative,43
sentnob,negative,80
sentnob,negative,27
sentnob,negative,74
sentnob,negative,129
sentnob,negative,29
sentnob,negative,67
sentnob,negative,19
sentnob,negative,131
sentnob,negative,75
sentnob,negative,30
sentnob,negative,17
sentnob,negative,23
sentnob,negative,143
sentnob,negative,24
sentnob,negative,19
sentnob,negative,109
sentnob,negative,102
sentnob,negative,51
sentnob,negative,13
sentnob,negative,124
sentnob,negative,20
sentnob,negative,102
sentnob,negative,89
sentnob,negative,93
sentnob,negative,25
sentnob,negative,47
sentnob,negative,84
sentnob,negative,57
sentnob,negative,126
sentnob,negative,39
sentnob,negative,48
sentnob,negative,35
sentnob,negative,59
sentnob,negative,82
sentnob,negative,97
sentnob,negative,68
sentnob,negative,138
sentnob,negative,173
sentnob,negative,72
sentnob,negative,69
sentnob,negative,59
sentnob,negative,39
sentnob,negative,40
sentnob,negative,48
sentnob,negative,25
sentnob,negative,77
sentnob,negative,39
sentnob,negative,154
sentnob,negative,78
sentnob,negative,81
sentnob,negative,52
sentnob,negative,103
sentnob,negative,38
sentnob,negative,101
sentnob,negative,69
sentnob,negative,33
sentnob,negative,84
sentnob,negative,68
sentnob,negative,31
sentnob,negative,56
sentnob,negative,79
sentnob,negative,38
