dataset,n_grapheme_clusters
sentnob,26
sentnob,78
sentnob,42
sentnob,23
sentnob,19
sentnob,108
sentnob,30
sentnob,17
sentnob,18
sentnob,59
sentnob,134
sentnob,26
sentnob,79
sentnob,30
sentnob,25
sentnob,43
sentnob,44
sentnob,80
sentnob,167
sentnob,69
sentnob,48
sentnob,21
sentnob,53
sentnob,24
sentnob,123
sentnob,33
sentnob,49
sentnob,52
sentnob,51
sentnob,23
sentnob,168
sentnob,121
sentnob,21
sentnob,27
sentnob,88
sentnob,29
sentnob,37
sentnob,31
sentnob,22
sentnob,106
sentnob,26
sentnob,134
sentnob,27
sentnob,100
sentnob,53
sentnob,52
sentnob,120
sentnob,152
sentnob,22
sentnob,16
sentnob,57
sentnob,20
sentnob,16
sentnob,21
sentnob,33
sentnob,20
sentnob,24
sentnob,24
sentnob,46
sentnob,59
sentnob,44
sentnob,21
sentnob,31
sentnob,168
sentnob,53
sentnob,80
sentnob,27
sentnob,38
sentnob,37
sentnob,33
sentnob,20
sentnob,27
sentnob,112
sentnob,46
sentnob,43
sentnob,34
sentnob,29
sentnob,21
sentnob,50
sentnob,27
sentnob,167
sentnob,33
sentnob,34
sentnob,32
sentnob,36
sentnob,29
sentnob,25
sentnob,56
sentnob,21
sentnob,123
sentnob,26
sentnob,34
sentnob,51
sentnob,75
sentnob,138
sentnob,70
sentnob,52
sentnob,20
sentnob,61
sentnob,69
sentnob,52
sentnob,135
sentnob,31
sentnob,29
sentnob,26
sentnob,123
sentnob,36
sentnob,133
sentnob,41
sentnob,70
sentnob,41
sentnob,105
sentnob,52
sentnob,25
sentnob,23
sentnob,49
sentnob,81
sentnob,15
sentnob,16
sentnob,111
sentnob,41
sentnob,49
sentnob,39
sentnob,55
sentnob,30
sentnob,61
sentnob,37
sentnob,36
sentnob,63
sentnob,52
sentnob,33
sentnob,45
sentnob,37
sentnob,38
sentnob,42
sentnob,29
sentnob,23
sentnob,12
sentnob,133
sentnob,120
sentnob,37
sentnob,45
sentnob,64
sentnob,17
sentnob,34
sentnob,22
sentnob,64
sentnob,110
sentnob,32
sentnob,89
sentnob,18
sentnob,17
sentnob,61
sentnob,48
sentnob,43
sentnob,43
sentnob,91
sentnob,39
sentnob,37
sentnob,43
sentnob,20
sentnob,39
sentnob,41
sentnob,34
sentnob,58
sentnob,41
sentnob,18
sentnob,22
sentnob,34
sentnob,32
sentnob,33
sentnob,40
sentnob,37
sentnob,27
sentnob,28
sentnob,43
sentnob,24
sentnob,44
sentnob,35
sentnob,83
sentnob,26
sentnob,34
sentnob,49
sentnob,17
sentnob,38
sentnob,34
sentnob,21
sentnob,90
sentnob,60
sentnob,45
sentnob,17
sentnob,89
sentnob,45
sentnob,49
sentnob,21
sentnob,24
sentnob,56
sentnob,76
sentnob,60
sentnob,32
sentnob,26
sentnob,17
sentnob,71
sentnob,44
sentnob,68
sentnob,26
sentnob,159
sentnob,40
sentnob,49
sentnob,34
sentnob,23
sentnob,153
sentnob,81
sentnob,126
sentnob,46
sentnob,21
sentnob,24
sentnob,24
sentnob,47
sentnob,36
sentnob,52
sentnob,27
sentnob,55
sentnob,30
sentnob,66
sentnob,66
sentnob,44
sentnob,42
sentnob,27
sentnob,58
sentnob,46
sentnob,15
sentnob,30
sentnob,45
sentnob,106
sentnob,118
sentnob,34
sentnob,41
sentnob,85
sentnob,68
